query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
114.0916884,HMDB0254551,Methoxyisobutylisonitrile,C6H11NO,113.084063978,M+H,+,114.09134,3,126.117
114.0916884,HMDB0246162,"5,5-Dimethyl-1-pyrroline N-oxide",C6H11NO,113.084063978,M+H,+,114.09134,3,126.98
114.0916884,HMDB0244336,2-Methoxyisobutylisonitrile,C6H11NO,113.084063978,M+H,+,114.09134,3,128.9535
114.0916884,HMDB0243878,1-Ethyl-2-pyrrolidinone,C6H11NO,113.084063978,M+H,+,114.09134,3,126.3365
114.0916884,HMDB0255163,N-Isopropylacrylamide,C6H11NO,113.084063978,M+H,+,114.09134,3,126.743
114.0916884,HMDB0250654,Cyclohexanone oxime,C6H11NO,113.084063978,M+H,+,114.09134,3,128.3755
114.0916884,HMDB0062769,Epsilon-caprolactam,C6H11NO,113.084063979,M+H,+,114.09134,3,124.14833333333333
114.0916884,HMDB0037293,2-Acetylpyrrolidine,C6H11NO,113.084063979,M+H,+,114.09134,3,122.561
114.0916884,HMDB0031199,"2,5-Dihydro-2,4,5-trimethyloxazole",C6H11NO,113.084063979,M+H,+,114.09134,3,125.71433333333331
114.0916884,HMDB0031702,1-Piperidinecarboxaldehyde,C6H11NO,113.084063979,M+H,+,114.09134,3,125.47866666666664
