query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
329.160769,HMDB0256615,Pirsidomine,C17H22N4O3,330.169190584,M-H,-,329.161915,3,171.5335
329.160769,HMDB0258925,tetranor-PGFM,C16H26O7,330.167853177,M-H,-,329.160577,1,177.4745
329.160769,HMDB0034558,6-Hydroxy-2-bornanone glucoside,C16H26O7,330.167853186,M-H,-,329.160577,1,176.4176666666667
329.160769,HMDB0039056,"(4S,6R)-p-Mentha-1,8-diene-6,7-diol 7-glucoside",C16H26O7,330.167853186,M-H,-,329.160577,1,174.274
329.160769,HMDB0033224,"(1R,4R,5S)-5-Hydroxyfenchone glucoside",C16H26O7,330.167853186,M-H,-,329.160577,1,174.63466666666667
329.160769,HMDB0033111,Epijasminoside A,C16H26O7,330.167853186,M-H,-,329.160577,1,176.79833333333332
329.160769,HMDB0038979,"(3b,4b,5b)-4,5-Epoxy-p-menth-1-en-3-ol 3-glucoside",C16H26O7,330.167853186,M-H,-,329.160577,1,174.9335
329.160769,HMDB0031382,Portuloside A,C16H26O7,330.167853186,M-H,-,329.160577,1,175.317
329.160769,HMDB0033226,"(1S,4R)-10-Hydroxyfenchone glucoside",C16H26O7,330.167853186,M-H,-,329.160577,1,175.45433333333335
329.160769,HMDB0033225,"(1R,4S,6R)-6-Hydroxyfenchone glucoside",C16H26O7,330.167853186,M-H,-,329.160577,1,175.78633333333337
329.160769,HMDB0005796,Picrocrocin,C16H26O7,330.167853186,M-H,-,329.160577,1,177.07633333333334
