query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
287.2004413,HMDB0245889,"3beta-Hydroxy-5,7-androstadien-17-one",C19H26O2,286.193280077,M+H,+,287.200556,0,173.5
287.2004413,HMDB0244778,17alpha-Methylestradiol,C19H26O2,286.193280077,M+H,+,287.200556,0,172.3
287.2004413,HMDB0062415,"androst-5-ene-3,17-dione",C19H26O2,286.193280077,M+H,+,287.200556,0,171.826
287.2004413,HMDB0304212,"5-androstene-3,17-dione",C19H26O2,286.193280077,M+H,+,287.200556,0,172.777
287.2004413,HMDB0245734,Tetrahydrocannabivarol,C19H26O2,286.193280077,M+H,+,287.200556,0,174.8235
287.2004413,HMDB0249588,Cannabidivarin,C19H26O2,286.193280077,M+H,+,287.200556,0,176.528
287.2004413,HMDB0257608,"(8R,9R,10R,13S,14S)-10,13-Dimethyl-5,6,7,8,9,11,12,14,15,16-decahydro-4H-cyclopenta[a]phenanthrene-3,17-dione",C19H26O2,286.193280077,M+H,+,287.200556,0,172.2
287.2004413,HMDB0249339,Boldenone,C19H26O2,286.193280077,M+H,+,287.200556,0,173.0
287.2004413,HMDB0247882,"(8R,9R,10R,13S,14S)-10,13-Dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",C19H26O2,286.193280076,M+H,+,287.200556,0,172.8
287.2004413,HMDB0038957,Citronellyl cinnamate,C19H26O2,286.193280076,M+H,+,287.200556,0,172.69433333333333
287.2004413,HMDB0000053,Androstenedione,C19H26O2,286.193280076,M+H,+,287.200556,0,173.608
