query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
311.2017429,HMDB0259077,tibolone,C21H28O2,312.208930142,M-H,-,311.201654,0,186.0
311.2017429,HMDB0250982,7alpha-Methyl-17-ethinyl-19-nortestosterone,C21H28O2,312.208930142,M-H,-,311.201654,0,185.8
311.2017429,HMDB0244770,Progestoral,C21H28O2,312.208930142,M-H,-,311.201654,0,185.9
311.2017429,HMDB0242257,(+)-Norgestrel,C21H28O2,312.208930142,M-H,-,311.201654,0,185.1
311.2017429,HMDB0252978,E-Guggulsterone,C21H28O2,312.208930142,M-H,-,311.201654,0,186.6
311.2017429,HMDB0060580,Ethisterone,C21H28O2,312.20893014,M-H,-,311.201654,0,178.6705
311.2017429,HMDB0004626,Tetrahydrogestrinone,C21H28O2,312.20893014,M-H,-,311.201654,0,178.017
311.2017429,HMDB0000995,16-Dehydroprogesterone,C21H28O2,312.20893014,M-H,-,311.201654,0,182.0943333333333
311.2017429,HMDB0014522,Dydrogesterone,C21H28O2,312.20893014,M-H,-,311.201654,0,178.3825
311.2017429,HMDB0014511,Levonorgestrel,C21H28O2,312.20893014,M-H,-,311.201654,0,180.2615
